id,query,subject,expected_record_id
235,What do early writings reveal about divine providence?,Divine Providence,ccel/s/schaff/anf01.xml:ii.ii.15-p1
236,What does early theology say concerning humility?,Humility,ccel/s/schaff/anf01.xml:ii.ii.24-p1
237,What do early writings reveal about christology?,Christology,ccel/s/schaff/anf01.xml:ii.ii.5-p1
238,How was leadership practiced in the early church?,Leadership,ccel/s/schaff/anf01.xml:ii.ii.23-p1
239,What does early theology say concerning discipline?,Discipline,ccel/s/schaff/anf01.xml:ii.ii.35-p1
240,What does early theology say concerning persecution?,Persecution,ccel/s/schaff/anf01.xml:ii.ii.26-p1
241,What do early writings reveal about love?,Love,ccel/s/schaff/anf01.xml:ii.ii.21-p1
242,What does early theology say concerning church?,Church,ccel/s/schaff/anf01.xml:ii.ii.10-p1
243,What do early writings reveal about martyrdom?,Martyrdom,ccel/s/schaff/anf01.xml:ii.ii.37-p1
244,What do early writings reveal about obedience?,Obedience,ccel/s/schaff/anf01.xml:ii.ii.43-p1
245,How was church practiced in the early church?,Church,ccel/s/schaff/anf01.xml:ii.ii.27-p1
246,How is forgiveness understood in early Christian theology?,Forgiveness,ccel/s/schaff/anf01.xml:ii.ii.46-p1
247,What do the early church fathers teach about repentance?,Repentance,ccel/s/schaff/anf01.xml:ii.ii.28-p1
248,What does early theology say concerning obedience?,Obedience,ccel/s/schaff/anf01.xml:ii.ii.32-p1
249,How was baptism practiced in the early church?,Baptism,ccel/s/schaff/anf01.xml:ii.ii.6-p1
250,What do early writings reveal about scripture?,Scripture,ccel/s/schaff/anf01.xml:ii.ii.49-p1
251,How is idolatry understood in early Christian theology?,Idolatry,ccel/s/schaff/anf01.xml:ii.ii.1-p1
252,How is pride understood in early Christian theology?,Pride,ccel/s/schaff/anf01.xml:ii.ii.30-p1
253,How is virtue understood in early Christian theology?,Virtue,ccel/s/schaff/anf01.xml:ii.ii.33-p1
254,How is salvation understood in early Christian theology?,Salvation,ccel/s/schaff/anf01.xml:ii.ii.40-p1
255,How was discipline practiced in the early church?,Discipline,ccel/s/schaff/anf01.xml:ii.ii.18-p1
256,What does early theology say concerning holiness?,Holiness,ccel/s/schaff/anf01.xml:ii.ii.28-p1
257,What do early writings reveal about hope?,Hope,ccel/s/schaff/anf01.xml:ii.ii.28-p1
258,What do the early church fathers teach about pride?,Pride,ccel/s/schaff/anf01.xml:ii.ii.13-p1
259,How was unity practiced in the early church?,Unity,ccel/s/schaff/anf01.xml:ii.ii.3-p1
260,How was salvation practiced in the early church?,Salvation,ccel/s/schaff/anf01.xml:ii.ii.1-p1
261,What do the early church fathers teach about martyrdom?,Martyrdom,ccel/s/schaff/anf01.xml:ii.ii.40-p1
262,What do the early church fathers teach about divine providence?,Divine Providence,ccel/s/schaff/anf01.xml:ii.ii.48-p1
263,What do early writings reveal about peace?,Peace,ccel/s/schaff/anf01.xml:ii.ii.13-p1
264,How was truth practiced in the early church?,Truth,ccel/s/schaff/anf01.xml:ii.ii.44-p1
265,How was holiness practiced in the early church?,Holiness,ccel/s/schaff/anf01.xml:ii.ii.50-p1
266,What does early theology say concerning obedience?,Obedience,ccel/s/schaff/anf01.xml:ii.ii.1-p1
267,What do early writings reveal about martyrdom?,Martyrdom,ccel/s/schaff/anf01.xml:ii.ii.2-p1
268,What do the early church fathers teach about righteousness?,Righteousness,ccel/s/schaff/anf01.xml:ii.ii.6-p1
269,What do the early church fathers teach about church?,Church,ccel/s/schaff/anf01.xml:ii.ii.38-p1
270,What do the early church fathers teach about christology?,Christology,ccel/s/schaff/anf01.xml:ii.ii.36-p1
271,How is christology understood in early Christian theology?,Christology,ccel/s/schaff/anf01.xml:ii.ii.3-p1
272,What does early theology say concerning demons?,Demons,ccel/s/schaff/anf01.xml:ii.ii.17-p1
273,What does early theology say concerning mercy?,Mercy,ccel/s/schaff/anf01.xml:ii.ii.16-p1
274,How was mercy practiced in the early church?,Mercy,ccel/s/schaff/anf01.xml:ii.ii.25-p1
275,What do the early church fathers teach about peace?,Peace,ccel/s/schaff/anf01.xml:ii.ii.36-p1
276,How is courage understood in early Christian theology?,Courage,ccel/s/schaff/anf01.xml:ii.ii.47-p1
277,How was purity practiced in the early church?,Purity,ccel/s/schaff/anf01.xml:ii.ii.32-p1
278,How is discipline understood in early Christian theology?,Discipline,ccel/s/schaff/anf01.xml:ii.ii.28-p1
279,What do the early church fathers teach about sacrifice?,Sacrifice,ccel/s/schaff/anf01.xml:ii.ii.48-p1
280,How is divine providence understood in early Christian theology?,Divine Providence,ccel/s/schaff/anf01.xml:ii.ii.8-p1
281,What do the early church fathers teach about christology?,Christology,ccel/s/schaff/anf01.xml:ii.ii.8-p1
